TreeID,Species,Circumference (cm),Planters,Date of Collection,i-Tree Species ID,i-Tree Species Code,i-Tree Species Scientific Name,i-Tree Species Common Name,Tree Map Group,DBH (inches),DBH Height (ft),i-Tree Land Use,Replacement Value ($),Carbon Storage (lb),Carbon Storage ($),Gross Carbon (lb/yr),Gross Carbon ($/yr),Avoided Runoff (ft3/yr),Avoided Runoff ($/yr),Removed Pollution (oz/yr),Removed Pollution ($/yr),Total Benefits ($/yr),latitude,longitude
1,Autumn Brillance Serviceberry,7,,9/14/2022,324,AM,Amelanchier,serviceberry spp,Other,0.9,4.5,Institutional,54.75,1.9,0.16,0.9,0.08,0.3,0.02,0.1,0.04,0.14,41.98658200719589,-91.6562834179619
2,Autumn Brillance Serviceberry,7,,10/23/2022,324,AM,Amelanchier,serviceberry spp,Other,0.9,4.5,Institutional,54.75,1.9,0.16,0.9,0.08,0.3,0.02,0.1,0.04,0.14,41.98658723637167,-91.65618814356377
3,Autumn Brillance Serviceberry,6.5,,9/14/2022,324,AM,Amelanchier,serviceberry spp,Other,0.8,4.5,Institutional,54.75,1.4,0.12,0.8,0.07,0.3,0.02,0.1,0.04,0.12,41.98661128082747,-91.65623513154664
4,Autumn Brillance Serviceberry,8,"D. Hayes, E. Nagao, K. VonBehren, T. Lister",11/9/2022,324,AM,Amelanchier,serviceberry spp,Other,1,4.5,Institutional,54.75,2.4,0.21,1,0.09,0.4,0.02,0.2,0.04,0.16,41.98666613936655,-91.65629041325059
5,Ginkgo,25,,9/14/2022,3452,GIBI,Ginkgo biloba,Ginkgo,Other,3.1,4.5,Institutional,98.7,7.4,0.63,0.7,0.06,2.2,0.15,1,0.27,0.48,41.98650858018138,-91.65656020517862
6,European Beech,76,,9/14/2022,3313,FASY,Fagus sylvatica,European beech,Other,9.5,4.5,Institutional,1021.16,424.2,36.17,11.5,0.98,51.3,3.43,21.8,6.23,10.65,41.98643617320311,-91.65665073447013
7,Bur Oak,19,,9/14/2022,4926,QUMA1,Quercus macrocarpa,Bur oak,Oak,2.4,4.5,Institutional,78.3,9.5,0.81,1.1,0.1,2,0.13,0.8,0.24,0.46,41.98636096061271,-91.65676997952771
8,Princeton Elm,20.5,"A. Ahern, C. Karwowski, A. Welna",9/14/2022,5903,ULAM,Ulmus americana,American elm,Elm,2.6,4.5,Institutional,39.15,11.3,0.97,2.3,0.19,1.9,0.13,0.8,0.23,0.56,41.98654473479197,-91.65695992490588
9,Norway Maple,22,,9/14/2022,1676,ACPL,Acer platanoides,Norway maple,Maple,2.8,4.5,Institutional,78.3,24,2.05,4,0.34,1.9,0.13,0.8,0.23,0.7,41.98657786881581,-91.656952084906
10,Ginkgo,190,,9/14/2022,3452,GIBI,Ginkgo biloba,Ginkgo,Other,23.8,4.5,Institutional,7000,1267.9,108.12,14.9,1.27,76.1,5.08,32.4,9.25,15.6,41.98627056276531,-91.65684930003518
11,Cathedral Elm,23.5,"N. Gehling, Z. Nowobilski",9/14/2022,5909,ULPU,Ulmus pumila,Siberian elm,Elm,2.9,4.5,Institutional,19.58,17.3,1.47,3.1,0.26,2.2,0.15,0.9,0.27,0.68,41.98638610405104,-91.65696603705479
12,Sentry Linden,81.5,,9/14/2022,5857,TIAM,Tilia americana,American basswood,Other,10.2,4.5,Institutional,917.88,237.9,20.29,8.8,0.75,27.9,1.87,11.9,3.4,6.01,41.98646649907076,-91.65698655269594
13,Pin Oak,268,,9/14/2022,4952,QUPA,Quercus palustris,Pin oak,Oak,33.6,4.5,Institutional,11051.53,5074.4,432.72,62.4,5.32,229.1,15.31,97.6,27.85,48.49,41.98664458949511,-91.65701825730078
14,Green Ash,199,,9/14/2022,3394,FRPE,Fraxinus pennsylvanica,Green ash,Ash,24.9,4.5,Institutional,6238.73,1846.5,157.46,29.6,2.53,97.8,6.54,41.7,11.89,20.96,41.98667698339622,-91.6569293595069
15,Unidentified,24,,9/14/2022,,,,,Other,3,4.5,Institutional,,,,,,,,,,,41.98672193519847,-91.65679363018555
16,Red Oak,246,,9/14/2022,4970,QURU,Quercus rubra,Northern red oak,Oak,30.8,4.5,Institutional,9342.5,5726.7,488.35,71.7,6.11,85,5.68,36.2,10.34,22.14,41.98658311987565,-91.65665224830235
17,Autumn Brillance Serviceberry,8,,9/14/2022,324,AM,Amelanchier,serviceberry spp,Other,1,4.5,Institutional,54.75,2.4,0.21,1,0.09,0.4,0.02,0.2,0.04,0.16,41.9865917858038,-91.6563974824066
18,Japanese Maple,59,,9/21/2022,1674,ACPA,Acer palmatum,Japanese maple,Maple,7.4,4.5,Institutional,546.63,166.3,14.18,5.6,0.48,7.7,0.52,3.3,0.94,1.94,41.98667681090217,-91.65715636105021
19,Bur Oak,21.5,"R. Dufoe, A. Montalbano, B. Sanfort",9/21/2022,4926,QUMA1,Quercus macrocarpa,Bur oak,Oak,2.7,4.5,Institutional,78.3,12.7,1.08,1.3,0.11,2.3,0.15,1,0.28,0.55,41.98658199563413,-91.65720079428878
20,Dogwood,5,,9/21/2022,2572,CODR,Cornus drummondii,Roughleaf dogwood,Other,0.6,4.5,Institutional,54.75,0.7,0.06,0.6,0.05,0.4,0.03,0.2,0.05,0.12,41.98663000394573,-91.65741561936792
21,Swamp White Oak,29,,9/21/2022,4839,QUBI,Quercus bicolor,Swamp white oak,Oak,3.6,4.5,Institutional,106.48,71.9,6.13,7.8,0.66,3.2,0.21,1.4,0.39,1.27,41.98664147421036,-91.65749938204151
22,Bur Oak,18,,9/21/2022,4926,QUMA1,Quercus macrocarpa,Bur oak,Oak,2.3,4.5,Institutional,78.3,8.5,0.73,1.1,0.09,1.8,0.12,0.8,0.22,0.44,41.98658557415834,-91.6575228869998
23,Swamp White Oak,27,,9/21/2022,4839,QUBI,Quercus bicolor,Swamp white oak,Oak,3.4,4.5,Institutional,94.98,64.7,5.52,7.4,0.63,2.9,0.19,1.2,0.35,1.17,41.98657798243858,-91.65764460981163
24,Tulip Tree,22,,9/21/2022,3852,LITU,Liriodendron tulipifera,Tulip tree,Other,2.8,4.5,Institutional,78.3,13.9,1.18,2.6,0.22,2.8,0.19,1.2,0.34,0.75,41.98650195123355,-91.65767732822873
25,Black Maple,171,,9/21/2022,1673,ACNI,Acer nigrum,Black maple,Maple,21.4,4.5,Institutional,3584.08,2522.5,215.11,41.7,3.56,85.7,5.73,36.5,10.42,19.71,41.98637449421486,-91.65759294283568
26,Crabapple,21,,9/21/2022,3995,PYIO,Malus ioensis,Prairie crabapple,Crabapple,2.6,4.5,Institutional,54.75,15.3,1.3,2.4,0.2,1.4,0.1,0.6,0.17,0.47,41.98652138407348,-91.65746523671211
27,Black Oak,113.5,,9/21/2022,5001,QUVE,Quercus velutina,Black oak,Oak,14.2,4.5,Institutional,2074.76,1187.4,101.26,31.7,2.7,50.4,3.37,21.5,6.12,12.19,41.98654883018814,-91.65779408622032
28,Pin Oak,190.5,,9/21/2022,4952,QUPA,Quercus palustris,Pin oak,Oak,23.9,4.5,Institutional,5748.56,2569.9,219.15,44.4,3.79,127.7,8.54,54.4,15.53,27.85,41.98651275484173,-91.65788064487701
29,Common Hackberry,249,,9/21/2022,2302,CEOC,Celtis occidentalis,Northern hackberry,Other,31.2,4.5,Institutional,9590.76,595.3,50.76,6.7,0.58,139.5,9.33,59.4,16.96,26.86,41.98640108722537,-91.65788297144081
30,Tulip Tree,6,"B. Ellsworth, N. Mirelez",9/21/2022,3852,LITU,Liriodendron tulipifera,Tulip tree,Other,0.8,4.5,Institutional,78.3,0.5,0.05,0.5,0.04,0.6,0.04,0.2,0.07,0.15,41.98656237623958,-91.65802707631813
