tree_id,identification,circum (inches),planters,date
1,Autumn Brillance Serviceberry,7,,9/14/2022
2,Autumn Brillance Serviceberry,7,,10/23/2022
3,Autumn Brillance Serviceberry,6.5,,9/14/2022
4,Autumn Brillance Serviceberry,8,"D. Hayes, E. Nagao, K. VonBehren, T. Lister",11/9/2022
5,Ginkgo,25,,9/14/2022
6,European Beech,76,,9/14/2022
7,Bur Oak,19,,9/14/2022
8,Princeton Elm,20.5,"A. Ahern, C. Karwowski, A. Welna",9/14/2022
9,Norway Maple,22,,9/14/2022
10,Ginkgo,190,,9/14/2022
11,Cathedral Elm,23.5,"N. Gehling, Z. Nowobilski",9/14/2022
12,Sentry Linden,81.5,,9/14/2022
13,Pin Oak,268,,9/14/2022
14,Green Ash,199,,9/14/2022
15,Unidentified,24,,9/14/2022
16,Red Oak,246,,9/14/2022
17,Autumn Brillance Serviceberry,8,,9/14/2022
18,Japanese Maple,59,,9/21/2022
19,Bur Oak,21.5,"R. Dufoe, A. Montalbano, B. Sanfort",9/21/2022
20,Dogwood,5,,9/21/2022
21,Swamp White Oak,29,,9/21/2022
22,Bur Oak,18,,9/21/2022
23,Swamp White Oak,27,,9/21/2022
24,Tulip Tree,22,,9/21/2022
25,Black Maple,171,,9/21/2022
26,Crabapple,21,,9/21/2022
27,Black Oak,113.5,,9/21/2022
28,Pin Oak,190.5,,9/21/2022
29,Common Hackberry,249,,9/21/2022
30,Tulip Tree,6,"B. Ellsworth, N. Mirelez",9/21/2022
31,Cottonwood,203,,9/21/2022
32,Cottonwood,167,,9/21/2022
33,Autumn Fest Maple,6,,9/21/2022
34,White Ash,234.5,,9/21/2022
35,Sugar Maple,69,,9/21/2022
36,Bur Oak,75,,9/21/2022
37,Swamp White Oak,19,"E. Goist, S. Stocking",9/21/2022
38,Norway Maple,78,,9/21/2022
39,Red Oak,17.5,"C. Karwowski, N. Meskell, A. Welna",9/21/2022
40,Silver Birch,63,,9/21/2022
41,Tulip Tree,104,,9/21/2022
42,Bur Oak,21,"A. Jones, S. Letham",9/21/2022
43,White Oak,14,"A. Jones, S. Letham",9/21/2022
44,Black Oak,204.5,,9/21/2022
45,Black Oak,390,,9/21/2022
46,Unidentified,73,,9/30/2022
47,White Oak,470,,9/30/2022
48,Swamp White Oak,66,,9/30/2022
49,Sentry Linden,149,,9/30/2022
50,Green Ash,137,,9/30/2022
51,White Oak,315,,9/30/2022
52,Red Oak,129,,9/30/2022
53,Crabapple,23,,9/30/2022
54,Red Oak,112,,9/30/2022
55,Swamp White Oak,22,"D. Gayer, R. Verchimak, G. Wahls",9/30/2022
56,Red Maple,79,,9/30/2022
57,Cathedral Elm,24,,9/30/2022
58,Swamp White Oak,100,,9/30/2022
59,Green Ash,160,,9/30/2022
60,Crabapple,23,,9/30/2022
61,Crabapple,23,,9/30/2022
62,Valley Forge Elm,24,"K. Berry, M. Fink",9/30/2022
63,Bur Oak,21,"K. Kirk, K. Niehaus, M. Pinto",9/30/2022
64,Sentry Linden,27,"E. Brinkman, C. Hackenmiller, G. Pisarik, A. Reinstein",9/30/2022
65,Sentry Elm,14,"P. Cooper, P. Shevchuk, A. Valdiva",9/30/2022
66,Cathedral Elm,29,"S. Craig, G. Petersen",9/30/2022
67,Autumn Fest Maple,21,"S. Cheek, A. Forman, C. Pitstick",9/30/2022
68,Swamp White Oak,21,"M. Cargille, E. Lassen, A. Steeber",9/30/2022
69,Pin Oak,160,,9/30/2022
70,Sentry Elm,14,,9/30/2022
71,Pin Oak,214,,9/30/2022
72,White Pine,145,,9/30/2022
73,White Pine,141,,9/30/2022
74,White Pine,134,,9/30/2022
75,Red Oak,17,"L. Chambless, M. Northrop",9/30/2022
76,Unidentified,59,,9/30/2022
77,Unidentified,66,,9/30/2022
78,Crabapple,59,,9/30/2022
79,Crabapple,84,,9/30/2022
80,Crabapple,54,,9/30/2022
81,Autumn Fest Maple,14.5,"L. Chambless, S. Willis",9/30/2022
82,Autumn Fest Maple,18.5,"C. Doty, L. Homeister",9/30/2022
83,Autumn Fest Maple,19.5,"M. Kenworthy, C. Ramos",9/30/2022
84,Red Oak,239,,9/30/2022
85,Valley Forge Elm,23.5,"K. Ammon, M. Niedfeldt",9/30/2022
86,Magnolia,76,,9/30/2022
87,Red Oak,159,,9/30/2022
88,Norway Maple,83,,9/30/2022
89,Colorado Blue Spruce,87,,9/30/2022
90,Black Maple,187,,9/30/2022
91,Swamp White Oak,158,,9/30/2022
92,Green Ash,175,,9/30/2022
93,Little-Leaf Linden,232,,9/30/2022
94,White Ash,145,,9/30/2022
95,Sentry Linden,144,,9/30/2022
96,White Oak,145,,9/30/2022
97,Crabapple,51,,9/30/2022
98,Pin Oak,235,,9/30/2022
99,Honey Locust,191,,9/30/2022
100,Black Oak,256,,9/30/2022
101,Red Oak,252,,9/30/2022
102,Pin Oak,253,,9/30/2022
103,Crabapple,72.5,,9/30/2022
104,Unidentified,93.5,,9/30/2022
