Tree ID,Species Name,DBH (in),Replacement Value ($),Carbon Storage (lb),Carbon Storage ($),Gross Carbon Sequestration (lb/yr),Gross Carbon Sequestration ($/yr),Avoided Runoff (gal/yr),Avoided Runoff ($/yr),Carbon Avoided (lb/yr),Carbon Avoided ($/yr),Pollution Removal (oz/yr),Pollution Removal ($/yr),Energy Savings ($/yr),Total Annual Benefits ($/yr)
1,Serviceberry spp,0.9,55.11,1.2,0.11,0.6,0.05,1.7,0.02,N/A,N/A,0.1,0.04,N/A,0.10
2,Serviceberry spp,0.9,55.11,1.2,0.11,0.6,0.05,1.7,0.02,N/A,N/A,0.1,0.04,N/A,0.10
3,Serviceberry spp,0.8,55.11,0.9,0.08,0.5,0.04,1.6,0.01,N/A,N/A,0.1,0.03,N/A,0.09
4,Serviceberry spp,1.0,55.11,1.6,0.14,0.7,0.06,1.9,0.02,N/A,N/A,0.2,0.04,N/A,0.11
5,Ginkgo,3.1,98.70,7.4,0.63,0.7,0.06,11.5,0.10,N/A,N/A,1.0,0.23,N/A,0.39
6,European beech,9.5,"1,021.16",424.2,36.17,11.5,0.98,263.4,2.35,N/A,N/A,22.6,5.34,N/A,8.68
7,Bur oak,2.4,78.30,9.5,0.81,1.1,0.10,10.1,0.09,N/A,N/A,0.9,0.20,N/A,0.39
8,American elm,2.6,39.15,11.3,0.97,2.3,0.19,9.9,0.09,N/A,N/A,0.8,0.20,N/A,0.48
9,Norway maple,2.8,78.30,24.0,2.05,4.0,0.34,9.7,0.09,N/A,N/A,0.8,0.20,N/A,0.62
10,Ginkgo,23.8,"7,000.00","1,267.9",108.12,14.9,1.27,390.6,3.49,N/A,N/A,33.4,7.92,N/A,12.68
11,Siberian elm,2.9,19.58,17.3,1.47,3.1,0.26,11.4,0.10,N/A,N/A,1.0,0.23,N/A,0.60
12,American basswood,10.2,917.88,237.9,20.29,8.8,0.75,143.5,1.28,N/A,N/A,12.3,2.91,N/A,4.94
13,Pin oak,33.6,"11,051.53","5,074.4",432.72,62.4,5.32,"1,176.7",10.52,N/A,N/A,100.8,23.87,N/A,39.70
14,Green ash,24.9,"6,238.73","1,846.5",157.46,29.6,2.53,502.4,4.49,N/A,N/A,43.0,10.19,N/A,17.21
15,Northern red oak,30.8,"9,342.50","5,726.7",488.35,71.7,6.11,436.7,3.90,N/A,N/A,37.4,8.86,N/A,18.88
16,Serviceberry spp,1.0,55.11,1.6,0.14,0.7,0.06,1.9,0.02,N/A,N/A,0.2,0.04,N/A,0.11
17,Japanese maple,7.4,546.63,166.3,14.18,5.6,0.48,39.7,0.36,N/A,N/A,3.4,0.81,N/A,1.64
18,Bur oak,2.7,78.30,12.7,1.08,1.3,0.11,11.8,0.11,N/A,N/A,1.0,0.24,N/A,0.46
19,Roughleaf dogwood,0.6,55.11,0.4,0.04,0.3,0.03,2.0,0.02,N/A,N/A,0.2,0.04,N/A,0.09
20,Swamp white oak,3.6,106.48,71.9,6.13,7.8,0.66,16.4,0.15,N/A,N/A,1.4,0.33,N/A,1.14
21,Bur oak,2.3,78.30,8.5,0.73,1.1,0.09,9.5,0.08,N/A,N/A,0.8,0.19,N/A,0.37
22,Swamp white oak,3.4,94.98,64.7,5.52,7.4,0.63,14.9,0.13,N/A,N/A,1.3,0.30,N/A,1.06
23,Tulip tree,2.8,78.30,13.9,1.18,2.6,0.22,14.3,0.13,N/A,N/A,1.2,0.29,N/A,0.64
24,Black maple,21.4,"3,584.08","2,522.5",215.11,41.7,3.56,440.3,3.93,N/A,N/A,37.7,8.93,N/A,16.42
25,Prairie crabapple,2.6,55.11,15.4,1.31,2.4,0.20,7.3,0.07,N/A,N/A,0.6,0.15,N/A,0.42
26,Black oak,14.2,"2,074.76","1,187.4",101.26,31.7,2.70,258.7,2.31,N/A,N/A,22.2,5.25,N/A,10.26
27,Pin oak,23.9,"5,748.56","2,569.9",219.15,44.4,3.79,656.0,5.86,N/A,N/A,56.2,13.31,N/A,22.96
28,Northern hackberry,31.2,"9,590.76",595.3,50.76,6.7,0.58,716.6,6.40,N/A,N/A,61.4,14.54,N/A,21.52
29,Tulip tree,0.8,78.30,0.5,0.05,0.5,0.04,3.0,0.03,N/A,N/A,0.3,0.06,N/A,0.13
30,Cottonwood spp,25.4,"2,000.27","2,811.9",239.78,43.7,3.72,558.5,4.99,N/A,N/A,47.8,11.33,N/A,20.04
31,Cottonwood spp,20.9,"1,477.08","1,732.8",147.76,32.7,2.79,441.1,3.94,N/A,N/A,37.8,8.95,N/A,15.68
32,Sugar maple,0.8,97.88,0.9,0.08,0.4,0.03,1.5,0.01,N/A,N/A,0.1,0.03,N/A,0.08
33,White ash,29.4,"8,693.09","5,066.3",432.04,65.0,5.54,352.5,3.15,N/A,N/A,30.2,7.15,N/A,15.84
34,Sugar maple,8.6,816.63,315.1,26.87,9.6,0.82,127.1,1.14,N/A,N/A,10.9,2.58,N/A,4.53
35,Bur oak,9.4,898.59,284.8,24.29,8.4,0.72,139.7,1.25,N/A,N/A,12.0,2.83,N/A,4.80
36,Swamp white oak,2.4,78.30,35.1,2.99,5.3,0.45,8.8,0.08,N/A,N/A,0.8,0.18,N/A,0.71
