Tree ID,Species Name,DBH (in),Height (ft),Crown Height (ft),Crown Width (ft),Canopy Cover (ft^2),Tree Condition,Leaf Area (ft^2),Leaf Biomass (lb),Leaf Area Index,Basal Area (ft^2),Street Tree,Date,Crew,Land Use
1,Serviceberry spp,0.9,11.8,6.0,6.8,36.7,FAIR,28.7,0.4,0.8,0.004,NO,,,Institutional
2,Serviceberry spp,0.9,11.8,6.0,6.8,36.7,FAIR,28.7,0.4,0.8,0.004,NO,,,Institutional
3,Serviceberry spp,0.8,11.8,6.0,6.6,34.3,FAIR,26.4,0.4,0.8,0.003,NO,,,Institutional
4,Serviceberry spp,1.0,11.8,6.0,7.1,39.0,FAIR,31.0,0.5,0.8,0.005,NO,,,Institutional
5,Ginkgo,3.1,22.1,11.6,11.8,108.5,FAIR,191.2,3.8,1.8,0.052,NO,,,Institutional
6,European beech,9.5,55.2,39.5,26.8,562.0,FAIR,"4,371.3",44.8,7.8,0.492,NO,,,Institutional
7,Bur oak,2.4,21.9,11.5,9.9,76.9,FAIR,166.8,3.4,2.2,0.031,NO,,,Institutional
8,American elm,2.6,21.3,11.2,11.4,102.0,FAIR,163.7,2.4,1.6,0.037,NO,,,Institutional
9,Norway maple,2.8,21.6,12.8,8.3,54.5,FAIR,160.4,1.8,2.9,0.043,NO,,,Institutional
10,Ginkgo,23.8,72.9,42.8,38.7,"1,175.4",FAIR,"6,482.4",127.6,5.5,3.090,NO,,,Institutional
11,Siberian elm,2.9,19.7,10.5,11.4,102.0,FAIR,189.5,2.6,1.9,0.046,NO,,,Institutional
12,American basswood,10.2,47.0,24.8,21.1,350.5,FAIR,"2,381.4",14.2,6.8,0.568,NO,,,Institutional
13,Pin oak,33.6,100.8,69.3,50.5,"2,000.7",FAIR,"19,527.6",362.0,9.8,6.159,NO,,,Institutional
14,Green ash,24.9,70.4,43.0,40.5,"1,286.1",FAIR,"8,338.0",111.4,6.5,3.383,NO,,,Institutional
15,Northern red oak,30.8,90.7,44.3,48.8,"1,872.4",FAIR,"7,247.7",118.3,3.9,5.176,NO,,,Institutional
16,Serviceberry spp,1.0,11.8,6.0,7.1,39.0,FAIR,31.0,0.5,0.8,0.005,NO,,,Institutional
17,Japanese maple,7.4,19.2,12.7,16.7,218.8,FAIR,659.4,7.6,3.0,0.299,NO,,,Institutional
18,Bur oak,2.7,23.1,12.2,10.4,84.2,FAIR,196.5,4.0,2.3,0.040,NO,,,Institutional
19,Roughleaf dogwood,0.6,13.3,4.8,8.3,53.7,FAIR,33.0,0.4,0.6,0.002,NO,,,Institutional
20,Swamp white oak,3.6,26.8,14.5,11.7,108.3,FAIR,271.5,5.5,2.5,0.071,NO,,,Institutional
21,Bur oak,2.3,21.5,11.2,9.7,74.5,FAIR,157.6,3.2,2.1,0.029,NO,,,Institutional
22,Swamp white oak,3.4,26.0,14.0,11.4,102.7,FAIR,246.6,5.0,2.4,0.063,NO,,,Institutional
23,Tulip tree,2.8,32.7,14.3,10.6,88.6,FAIR,236.5,2.9,2.7,0.043,NO,,,Institutional
24,Black maple,21.4,69.6,45.7,26.2,538.4,FAIR,"7,306.1",84.2,13.6,2.499,NO,,,Institutional
25,Prairie crabapple,2.6,14.6,9.5,10.1,80.1,FAIR,121.9,2.2,1.5,0.037,NO,,,Institutional
26,Black oak,14.2,63.0,34.0,27.6,597.7,FAIR,"4,292.9",62.1,7.2,1.100,NO,,,Institutional
27,Pin oak,23.9,82.0,54.6,41.3,"1,336.9",FAIR,"10,887.1",201.8,8.1,3.116,NO,,,Institutional
28,Northern hackberry,31.2,96.2,52.6,52.4,"2,160.4",FAIR,"11,892.0",126.7,5.5,5.311,NO,,,Institutional
29,Tulip tree,0.8,11.5,9.0,6.1,28.8,FAIR,49.8,0.6,1.7,0.003,NO,,,Institutional
30,Cottonwood spp,25.4,75.9,49.1,38.0,"1,133.6",FAIR,"9,267.9",128.3,8.2,3.520,NO,,,Institutional
