"ID","Code","Scientific Name","Common Name"
2,FICLASS,Filicopsida,"Fern class"
3,GICLASS,Ginkgoopsida,"Ginkgo class"
4,LICLASS,Liliopsida,"Lily class"
5,MACLASS,Magnoliopsida,Hardwood
287,AB1,Abelia,"Abelia spp"
289,AB3,Abutilon,"Indian Mallow spp"
290,ACSP2,Acacia,"Acacia spp"
292,AC,Acer,"Maple spp"
297,AD1,Adansonia,"Adansonia spp"
298,AD2,Adelia,"Wild Lime spp"
299,AD3,Adenanthera,"Beadtree spp"
301,AD6,Adolphia,"Prickbush spp"
305,AE,Aesculus,"Buckeye spp"
308,AI1,Ailanthus,"Ailanthus spp"
310,AL1,Albizia,"Albizia spp"
312,AL2,Alchorneopsis,"Alchorneopsis spp"
315,AL6,Alhagi,"Alhagi spp"
318,AL,Alnus,"Alder spp"
319,AL12,Aloysia,"Beebrush spp"
324,AM,Amelanchier,"Serviceberry spp"
325,AM3,"x Amelasorbus","Amelasorbus spp"
326,AM5,Amorpha,"False Indigo spp"
327,AM6,Ampelopsis,"Peppervine spp"
328,AM7,Amphipappus,"Chaffbush spp"
331,AN1,Anacardium,"Anacardium spp"
335,AN7,Anisacanthus,"Desert Honeysuckle spp"
336,AN8,Annona,"Annona spp"
337,AN11,Anthocephalus,"Anthocephalus spp"
338,AN12,Antidaphne,"Antidaphne spp"
340,AN14,Antiphytum,"Saucerflower spp"
342,AR2,Aralia,"Spikenard spp"
350,AR14,Argyrautia,"Arhyrautia spp"
351,AR15,Argyroxiphium,"Silversword spp"
355,AS3,Asimina,"Pawpaw spp"
361,AY1,Ayenia,"Ayenia spp"
362,BA1,Baccharis,"Baccharis spp"
365,BA4,Banisteriopsis,"Banisteriopsis spp"
369,BA11,Batesimalva,"Gaymallow spp"
370,BA13,Bauhinia,"Bauhinia spp"
373,BESP,Berberis,"Barberry spp"
374,BE7,Bernardia,"Myrtlecroton spp"
375,BE,Betula,"Birch spp"
376,BI1,Bidens,"Beggarticks spp"
377,BI4,Bischofia,"Bishopwood spp"
388,BR1,Brachychiton,"Brachychiton spp"
390,BR5,Brighamia,"Brighamia spp"
391,BR6,Brongniartia,"Greentwig spp"
394,BR9,Broussonetia,"Broussonetia spp"
399,BR14,Brya,"Coccuswood spp"
400,BU1,Buchenavia,"Buchenavia spp"
402,BU3,Buckleya,"Buckleya spp"
403,BU4,Buddleja,"Butterflybush spp"
405,BU6,Bursera,"Bursera spp"
410,CA6,Cajanus,"Cajanus spp"
413,CA10,Callicarpa,"Beautyberry spp"
420,CA17,Calycanthus,"Sweetshrub spp"
421,CA18,Calycophyllum,"Calycophyllum spp"
425,CA24,Camptotheca,"Camptotheca spp"
429,CA29,Canthium,"Canthium spp"
430,CA30,Capparis,"Caper spp"
431,CA2,Caragana,"Peashrub spp"
437,CA40,Carpinus,"Hornbeam spp"
439,CA1,Carya,"Hickory spp"
440,CA42,Caryopteris,"Caryopteris spp"
443,CA45,Casearia,"Casearia spp"
444,CASSI,Cassia,"Cassia spp"
447,CA4,Castanea,"Chestnut spp"
449,CA50,Castilla,"Castilla spp"
451,CA3,Catalpa,"Catalpa spp"
452,CA53,Catesbaea,"Lilythorn spp"
455,CE5,Cedrela,"Cedrela spp"
457,CE8,Ceiba,"Ceiba spp"
458,CE9,Celastrus,"Bittersweet spp"
460,CE2,Celtis,"Hackberry spp"
461,CE13,Cephalanthus,"Buttonbush spp"
463,CE17,Cercidiphyllum,"Katsura Tree spp"
464,CE18,Cercis,"Redbud spp"
468,CH2,Chaenomeles,"Flowering Quince spp"
470,CH5,Chamaebatiaria,"Fernbush spp"
473,CH7,Chamaecytisus,"Chamaecytisus spp"
476,CH11,Chamaesyce,"Sandmat spp"
482,CH19,Chionanthus,"Fringetree spp"
485,CH23,Chorisia,"Chorisia spp"
486,CH24,Chromolaena,"Thoroughwort spp"
489,CH29,Chrysophyllum,"Chrysophyllum spp"
490,CH30,Chrysothamnus,"Rabbitbrush spp"
494,CI8,Citharexylum,"Fiddlewood spp"
497,CL1,Cladrastis,"Cladrastis spp"
498,CL2,Claoxylon,"Claoxylon spp"
499,CL5,Clermontia,"Clermontia spp"
500,CL6,Clerodendrum,"Glorybower spp"
501,CLSP2,Clethra,"Sweetpepperbush spp"
504,CL9,Clidemia,"Clidemia spp"
508,CN1,Cnemidaria,"Cnemidaria spp"
513,CO6,Cochlospermum,"Cochlospermum spp"
515,CO8,Codariocalyx,"Tick Trefoil spp"
520,CO13,Colubrina,"Nakedwood spp"
521,CO16,Colutea,"Colutea spp"
526,CO24,Conostegia,"Snailwood spp"
531,CO29,Cordia,"Cordia spp"
533,CO1,Cornus,"Dogwood spp"
536,CO2,Corylus,"Hazelnut spp"
538,CO39,Cotinus,"Smoketree spp"
539,CO3,Cotoneaster,"Cotoneaster spp"
540,CO41,Couroupita,"Cannonball Tree spp"
541,CO42,Coursetia,"Babybonnets spp"
542,CR,Crataegus,"Hawthorn spp"
543,CR2,Crescentia,"Crescentia spp"
545,CR5,Critonia,"Critonia spp"
549,CR9,Croton,"Croton spp"
552,CU1,Cudrania,"Cudrania spp"
558,CY1,Cyanea,"Cyanea spp"
560,CY3,Cybianthus,"Cybianthus spp"
563,CY6,Cydonia,"Cydonia spp"
